vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
WDCTG4GBXJJ426890,Black,2018,Mercedes-Benz,GLA,"$32,999","21,350 Miles",Puyallup,used,Larson Chrysler Jeep Dodge of Puyallup,WA,GLA 250 4MATIC,suv
2G1FA1E33E9317969,White,2014,Chevrolet,Camaro,"$15,995","84,935 Miles",Turnersville,used,Premier Auto Group,NJ,LS,coupe
1V2DR2CA2JC587128,Black,2018,Volkswagen,Atlas,"$28,988","56,598 Miles",Friendswood,used,Big Star Hyundai,TX,V6 SE,suv
1C4PJMDN4KD167630,Diamond Black Crystal Pearlcoat,2019,Jeep,Cherokee,"$28,995","22,171 Miles",Ogden,used,Hertz Car Sales Ogden,UT,Limited,suv
1N4AA6AP5JC396481,Super Black,2018,Nissan,Maxima,"$27,993","57,577 Miles",Peoria,certified pre-owned,Peoria Nissan,AZ,Platinum,sedan
3VWC57BU1KM173949,White,2019,Volkswagen,Jetta,"$16,995","55,087 Miles",Madison,used,Perkins Motor Plex of Nashville,TN,1.4T S,sedan
1C6HJTFG0LL172433,Black Clear Coat,2020,Jeep,Gladiator,"$45,499","10,174 Miles",Stafford,used,Texas Direct Auto,TX,North Edition,truck
LRBFXBSA4LD035708,Black,2020,Buick,Envision,"$27,786","41,203 Miles",Monroe,certified pre-owned,Griffin Buick GMC,NC,Preferred,suv
1G1FB1RX5J0142283,Black,2018,Chevrolet,Camaro,"$28,300","18,724 Miles",Auburn,used,Shift Seattle - Test Drives Delivered to You,WA,LT,coupe
WMEEJ3BA4EK780351,Rally Red,2014,Smart,fortwo,"$8,193","32,057 Miles",Wooster,used,Chevrolet of Wooster,OH,passion,hatchback
3C4NJDAB0HT656112,White Clear Coat,2017,Jeep,Compass,"$20,499","37,185 Miles",Stafford,used,Texas Direct Auto,TX,Sport,suv
3N1AB7AP9JY314145,Gray,2018,Nissan,Sentra,"$17,998","49,248 Miles",Palm Desert,used,CarMax Palm Desert - Now offering Curbside Pickup,CA,SR,sedan
1FM5K8GT7HGA55266,Magnetic,2017,Ford,Explorer,"$26,999","90,263 Miles",Stafford,used,Texas Direct Auto,TX,Sport,suv
3N1CP5DV5ML525062,Super Black,2021,Nissan,Kicks,"$24,065",New,New Rochelle,new,Nissan of New Rochelle,NY,SR,crossover
3C63RRJL6KG726225,White,2019,Ram,Pickup 3500,"$81,999","17,782 Miles",Puyallup,used,Northwest Motorsport - Puyallup,WA,Laramie,truck
1C4RJKDG4M8180629,Diamond Black Crystal Pearlcoat,2021,Jeep,Grand Cherokee L,"$55,931",New,Parkville,new,Heritage Chrysler Jeep Dodge Ram Parkville,MD,Overland,suv
WA1ANAFY1K2041490,White,2019,Audi,Q5,"$33,998","40,759 Miles",Madison,used,CarMax Rivergate - Now offering Curbside Pickup,TN,2.0T quattro Premium,suv
1C6RR6FTXMS533895,Bright White Clearcoat,2021,Ram,Pickup 1500 Classic,"$36,476",New,Van Nuys,new,Russell Westbrook Chrysler Dodge Jeep Ram of Van Nuys,CA,Tradesman,truck
55SWF4JB5JU262615,Blue,2018,Mercedes-Benz,C-Class,"$29,939","38,041 Miles",Signal Hill,used,EchoPark Automotive Los Angeles (Long Beach),CA,C 300,sedan
1GCPYFEL2MZ248393,Black,2021,Chevrolet,Silverado 1500,"$52,869",New,Flint,new,Shea Chevrolet Buick GMC,MI,LT Trail Boss,truck
1GCGTDEN5M1288910,Summit White,2021,Chevrolet,Colorado,"$38,722",New,Manassas,new,Bomnin Chevrolet Manassas,VA,Z71,truck
KMHD84LF3LU940576,Stellar Silver,2020,Hyundai,Elantra,"$20,322","52,533 Miles",Vancouver,used,Vancouver Toyota,WA,Value Edition,sedan
1GCPWEED9MZ286325,Cherry Red Tintcoat,2021,Chevrolet,Silverado 1500,"$52,055",New,Lawrenceville,new,Nash Chevrolet,GA,LTZ,truck
3GTP1NEC4HG385050,Onyx Black,2017,GMC,Sierra 1500,"$37,995","57,082 Miles",Houston,used,Beck & Masten South,TX,SLT,truck
3VW2B7AJ7HM235763,White Silver Metallic,2017,Volkswagen,Jetta,"$15,799","34,081 Miles",Norco,used,Corona Motors Direct,CA,1.4T S,sedan
3N1AB7AP6KY387684,Gun Metallic,2019,Nissan,Sentra,"$15,099","53,844 Miles",Warminster,used,Hertz Car Sales Warminster,PA,S,sedan
2HKRW2H86HH641437,Red,2017,Honda,CR-V,"$26,998","50,576 Miles",Knoxville,used,CarMax Knoxville - Now offering Curbside Pickup,TN,EX-L,suv
3GNCJKSB7HL237191,Summit White,2017,Chevrolet,Trax,"$14,999","61,351 Miles",Montclair,used,IE Motors Direct,CA,LS,crossover
4T1B61HK1JU525240,BLACK,2018,Toyota,Camry,"$25,995","56,545 Miles",Fishers,used,Golden Gear Group,IN,XSE,sedan
1FTFW1ET5EFB90755,Gray,2014,Ford,F-150,"$25,999","155,629 Miles",Puyallup,used,Northwest Motorsport - Puyallup,WA,FX4,truck
1FTEX1E88HFC86517,Lightning Blue,2017,Ford,F-150,"$30,997","33,875 Miles",Collinsville,used,Jack Schmitt Ford,IL,XL,truck
JTEBU4BF0AK095134,Sun Fusion,2010,Toyota,FJ Cruiser,"$33,782","68,569 Miles",Phoenix,used,Camelback Toyota,AZ,Base,suv
WDDUG8CB5EA009860,Black,2014,Mercedes-Benz,S-Class,"$44,031","42,426 Miles",Miami Lakes,used,Miami Lakes Automall,FL,S 550,sedan
4T1B11HK5KU680051,Silver,2019,Toyota,Camry,"$23,550","30,310 Miles",Commerce,used,Shift LA - Test Drives Delivered to You,CA,L,sedan
3N1CP5CV3ML513347,Boulder Gray Pearl,2021,Nissan,Kicks,"$20,175",New,Richmond,new,Nissan of Richmond,VA,SV,crossover
JM3KFABM7J0315271,Eternal Blue Mica,2018,Mazda,CX-5,"$20,788","50,697 Miles",Placentia,used,SC MOTORS,CA,Sport,suv
1FTEW1EP3GKF84795,White,2016,Ford,F-150,"$35,998","42,940 Miles",Henderson,used,CarMax Henderson - Now offering Curbside Pickup and Home Delivery,NV,XLT,truck
3GKALVEV4KL245990,Quicksilver Metallic,2019,GMC,Terrain,"$23,488","60,541 Miles",Tampa,used,Hertz Car Sales Tampa,FL,SLT,suv
YV4A22RKXK1370221,White,2019,Volvo,XC60,"$37,499","28,886 Miles",Stafford,used,Texas Direct Auto,TX,T6 Momentum,suv
KMHTH6AB7KU013263,White,2019,Hyundai,Veloster Turbo,"$25,998","22,357 Miles",Norcross,used,CarMax Norcross - Now offering Curbside Pickup and Home Delivery,GA,Turbo Ultimate,coupe
3C6RR6KT1MG614183,Gray,2021,Ram,Pickup 1500 Classic,"$42,054",New,Marietta,new,Ed Voyles Chrysler Dodge Jeep,GA,Tradesman,truck
5TFDW5F17FX473648,Black,2015,Toyota,Tundra,"$26,797","92,000 Miles",Tampa,used,Jerry Ulm Chrysler Dodge Jeep Ram,FL,SR5,truck
