price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
25934,Chevrolet,Camaro,2010,19629 ,Silver,2G1FT1EW1A9207100,Southtown Chrysler Dodge Jeep Ram,IA,SS,coupe,used,Indianola
13599,Toyota,Corolla,2010,79914 ,Black,2T1BU4EE2AC442603,CarMax Scottsdale - Now offering Curbside Pickup,AZ,LE,sedan,used,Scottsdale
14569,Ford,F150,2010,137246 ,Tuxedo Black,1FTEW1C85AFD61802,Rhythm Chrysler Dodge Jeep Ram,TN,XLT,truck,used,Madison
19998,Toyota,Venza,2010,72703 ,Gray,4T3BK3BB5AU028876,CarMax Hillside (Eisenhower Expy) - Now offering Curbside Pickup,IL,AWD V6,crossover,used,Hillside
21991,Chevrolet,Avalanche,2010,112009 ,White Diamond Tricoat,3GNVKGE01AG240504,Porsche Barrington,IL,LTZ,truck,used,Barrington
17998,Toyota,Venza,2010,56648 ,Black,4T3ZA3BB8AU023897,CarMax Tampa - Now offering Curbside Pickup and Home Delivery,FL,FWD 4cyl,crossover,used,Tampa
9987,Nissan,Maxima,2010,75211 ,Tuscan Sun Metallic,1N4AA5AP1AC871649,Lancaster County Motors Subaru,PA,3.5 SV,sedan,used,East Petersburg
9449,Honda,Accord,2010,136342 ,Maroon,5KBCP3F80AB015559,Gunn Nissan,TX,EX-L V6,sedan,used,San Antonio
12400,Honda,CRV,2010,110251 ,Blue,5J6RE3H73AL017171,Shift San Diego - Test Drives Delivered to You,CA,EX-L,suv,used,Oceanside
18984,Land Rover,LR4,2011,116870 ,White,SALAG2D49BA555267,Jaguar Land Rover Downtown Salt Lake City,UT,Base,suv,used,Salt Lake City
10998,Ford,Focus,2011,91568 ,Silver,1FAHP3HN5BW177908,CarMax St. Louis South Lindbergh - Now offering Curbside Pickup,MO,SEL,sedan,used,St. Louis
13995,BMW,X5,2011,95385 ,Deep Sea Blue Metallic,5UXZV8C50BL420422,"On The Road Automotive Group, Inc",NY,xDrive50i,suv,used,Bronx
